house_type,num_bedrooms,floor_area_sqft,num_floors,num_occupants,num_adults,num_children,climate_zone,city_tier,insulation_quality,window_type,roof_type,has_ac,num_ac_units,ac_star_rating,ac_usage_hrs_per_day,num_ceiling_fans,num_led_bulbs,num_cfl_bulbs,num_incandescent_bulbs,avg_lighting_hrs_per_day,water_heater_type,water_heater_capacity_L,water_heater_usage_hrs_per_day,has_refrigerator,fridge_capacity_L,fridge_star_rating,has_microwave,has_electric_stove,has_dishwasher,dishwasher_cycles_per_week,has_washing_machine,washing_machine_type,washing_cycles_per_week,has_dryer,num_tvs,tv_screen_size_inch,tv_usage_hrs_per_day,num_computers,computer_usage_hrs_per_day,has_solar_panels,solar_capacity_kWp,has_battery_storage,battery_capacity_kWh,daily_energy_consumption_kWh,monthly_energy_consumption_kWh,estimated_peak_load_kW
Row House,1,375,3,4,2,2,Hot & Dry,Tier 2,Average,Single Pane,Flat RCC,0,0,0,0,7,10,9,3,5,Heat Pump,50,0.9,1,190,3,1,1,0,0,1,Front Load,5,0,1,75,5.6,1,5,0,0,0,0,15.24,457.1,1.9
Row House,1,355,1,2,2,0,Composite,Tier 1,Good,Single Pane,Green Roof,0,0,0,0,7,13,4,4,9.2,Electric Geyser,15,2.6,1,235,3,1,0,0,0,1,Front Load,9,0,1,40,4.6,1,9.8,0,0,0,0,19.13,574,2.39
Villa,3,943,3,3,1,2,Temperate,Tier 1,Average,Single Pane,Green Roof,1,1,3,12.9,7,4,4,4,4.8,Electric Geyser,25,2.8,1,235,4,0,0,1,8,1,Front Load,2,0,3,40,4.3,1,5.1,0,0,0,0,32.4,972.1,4.05
Apartment,2,575,3,4,2,2,Cold,Tier 2,Average,Double Pane,Insulated RCC,1,1,4,17.3,3,14,5,1,3.5,Electric Geyser,35,1.6,1,400,3,1,0,0,0,0,None,0,1,1,32,6.3,1,7.3,0,0,0,0,36.62,1098.5,4.58
Apartment,3,1035,2,6,3,3,Composite,Tier 3,Excellent,Triple Pane,Sloped Tiled,1,2,3,18,3,10,6,4,8.6,Solar + Backup,35,1.2,1,340,2,1,0,0,0,1,Front Load,2,0,1,50,5.9,1,2.2,0,0,0,0,53.1,1592.9,6.64
Independent House,1,300,2,4,2,2,Composite,Tier 2,Average,Double Pane,Insulated RCC,0,0,0,0,4,9,3,4,7.7,Solar + Backup,25,0.9,1,500,5,0,1,0,0,1,Top Load,6,0,2,43,5.9,2,9.9,0,0,0,0,17.37,521,2.17
Independent House,2,656,2,5,1,4,Cold,Tier 3,Good,Double Pane,Sloped Tiled,1,2,2,12.4,7,9,6,4,9.9,Electric Geyser,10,2.2,1,235,3,0,1,0,0,1,Top Load,7,0,2,65,2.7,0,0,0,0,0,0,57.44,1723.2,7.18
Apartment,3,1214,2,4,3,1,Hot & Humid,Tier 1,Poor,Double Pane,Flat RCC,1,1,3,16,7,16,4,2,10,Electric Geyser,10,1.3,1,190,3,1,0,0,0,1,Semi-Automatic,7,0,1,40,8.4,3,3.9,0,0,0,0,56.17,1685.2,7.02
Independent House,3,1278,1,3,2,1,Hot & Humid,Tier 2,Poor,Triple Pane,Sloped Tiled,0,0,0,0,2,19,5,2,11.6,Solar + Backup,35,2.8,1,235,4,1,1,1,10,0,None,0,0,2,65,5.9,0,0,0,0,0,0,25.31,759.4,3.16
Apartment,2,643,1,2,2,0,Composite,Tier 1,Average,Single Pane,Sloped Tiled,1,1,5,13.7,6,16,3,1,3.5,None,0,0,1,500,4,1,0,0,0,1,Top Load,9,0,0,0,0,3,4.6,0,0,0,0,27.74,832.1,3.47
Row House,3,840,2,4,1,3,Temperate,Tier 2,Average,Single Pane,Flat RCC,1,1,4,9.7,6,5,7,0,3.4,None,0,0,1,500,3,1,0,1,9,0,None,0,0,1,75,8.6,1,7.8,1,7,0,0,0,0,2.89
Apartment,4,1809,1,4,3,1,Temperate,Tier 1,Excellent,Single Pane,Flat RCC,1,2,5,6.9,5,22,8,4,11.9,Electric Geyser,25,1.9,1,280,1,1,1,0,0,1,Front Load,8,0,1,32,4.5,2,7.5,1,3,1,7.5,18.15,544.4,3.96
Independent House,3,1295,1,4,1,3,Hot & Dry,Tier 3,Poor,Single Pane,Flat RCC,1,2,1,9.6,4,22,1,0,8.8,Solar + Backup,25,0.6,1,165,4,0,1,1,13,0,None,0,0,1,55,2,1,4.7,1,3,0,0,47.77,1433.1,7.66
Apartment,2,554,1,3,2,1,Hot & Humid,Tier 1,Average,Double Pane,Sloped Tiled,1,1,2,5.1,6,22,3,2,9.4,Heat Pump,10,2.8,1,165,2,1,0,0,0,1,Top Load,9,0,1,32,9.3,2,8.9,0,0,0,0,30.61,918.2,3.83
Independent House,1,396,2,3,1,2,Hot & Dry,Tier 3,Good,Single Pane,Flat RCC,1,1,2,13.7,5,21,7,4,3.9,Heat Pump,25,2.1,1,190,4,0,1,0,0,1,Top Load,6,0,3,43,8.1,2,10.9,0,0,0,0,37.4,1122,4.67
Independent House,4,1454,2,2,2,0,Hot & Humid,Tier 2,Poor,Double Pane,Insulated RCC,1,1,1,7.5,2,9,7,0,3.6,Solar + Backup,50,3,1,340,1,1,0,0,0,1,Semi-Automatic,5,0,2,40,2.9,1,2.4,0,0,0,0,30.56,916.8,3.82
Apartment,1,300,1,3,2,1,Hot & Dry,Tier 3,Good,Single Pane,Flat RCC,1,3,2,8.4,4,5,8,0,4.4,Electric Geyser,35,1.8,1,500,3,1,1,1,4,1,Top Load,7,0,3,75,7.6,1,6.2,0,0,0,0,59.95,1798.5,7.49
Row House,4,1328,3,2,1,1,Temperate,Tier 2,Average,Single Pane,Flat RCC,1,3,4,5.7,4,22,2,3,6.8,Heat Pump,50,2.3,1,165,1,1,1,0,0,1,Front Load,2,0,2,43,2.2,1,7.9,0,0,0,0,32.8,983.9,4.1
Villa,3,1086,2,4,2,2,Hot & Humid,Tier 3,Good,Single Pane,Insulated RCC,1,2,2,16.1,7,9,0,2,4,Electric Geyser,50,0.6,1,235,3,1,0,0,0,0,None,0,1,0,0,0,1,7.9,1,2,0,0,55.06,1651.8,8.01
Row House,4,1113,2,2,2,0,Temperate,Tier 1,Good,Double Pane,Sloped Tiled,0,0,0,0,3,23,8,1,7,Electric Geyser,10,2.1,1,500,4,1,0,1,13,1,Top Load,9,0,1,55,6.2,1,2.2,1,3,0,0,2.65,79.5,2.02
Villa,3,1304,2,1,1,0,Hot & Dry,Tier 2,Average,Double Pane,Flat RCC,1,3,5,12,7,18,0,1,8.1,Solar + Backup,10,2.4,1,280,2,1,1,0,0,0,None,0,0,3,40,2.8,2,4.1,1,3,0,0,55.17,1655.2,8.58
Independent House,5,2197,2,3,1,2,Composite,Tier 3,Average,Triple Pane,Insulated RCC,1,1,4,12,2,9,2,3,3,None,0,0,1,340,3,0,1,0,0,0,None,0,0,2,75,9.7,1,2.6,0,0,0,0,24.96,748.8,3.12
Row House,2,958,1,4,3,1,Hot & Humid,Tier 1,Average,Double Pane,Flat RCC,1,4,3,9.7,7,6,2,0,4,Electric Geyser,50,2.4,0,0,0,0,0,0,0,0,None,0,0,3,55,9.2,2,7.7,0,0,0,0,82.18,2465.5,10.27
Apartment,3,1108,2,3,3,0,Hot & Dry,Tier 1,Average,Single Pane,Insulated RCC,1,3,3,6.7,4,14,8,3,6.4,Solar + Backup,15,1.1,1,340,3,1,0,0,0,1,Front Load,4,1,1,75,7.2,2,8.5,1,5,1,2.5,28.5,855.1,6.38
Apartment,2,588,1,2,2,0,Hot & Humid,Tier 2,Poor,Single Pane,Sloped Tiled,0,0,0,0,7,11,0,3,3.5,Electric Geyser,15,2.9,1,165,4,1,1,0,0,1,Front Load,2,0,1,50,2.5,2,3.6,1,3,1,5,7.88,236.3,2.67
Apartment,3,1063,2,3,2,1,Cold,Tier 3,Excellent,Double Pane,Flat RCC,1,1,2,5.8,5,21,6,2,4.2,None,0,0,0,0,0,1,0,0,0,1,Front Load,6,0,1,65,4.6,1,5.3,0,0,0,0,13.72,411.5,1.71
Apartment,3,1263,3,2,1,1,Temperate,Tier 2,Average,Double Pane,Sloped Tiled,0,0,0,0,7,20,1,4,5.1,Solar + Backup,50,0.7,0,0,0,0,0,0,0,1,Front Load,6,0,1,32,5,2,5.3,0,0,0,0,8.72,261.7,1.09
Apartment,4,1039,1,5,3,2,Composite,Tier 2,Poor,Single Pane,Flat RCC,0,0,0,0,6,22,6,0,6.9,Electric Geyser,25,2.8,1,190,5,1,0,0,0,1,Top Load,7,0,1,50,5.8,1,10.2,0,0,0,0,20.69,620.8,2.59
Apartment,5,1690,1,5,1,4,Hot & Humid,Tier 1,Poor,Single Pane,Flat RCC,1,3,5,6.9,2,22,0,1,9.4,Electric Geyser,15,1.2,1,235,3,1,0,0,0,1,Semi-Automatic,2,0,1,43,3.4,1,3.9,0,0,0,0,50.65,1519.6,6.33
Villa,3,1314,2,3,2,1,Cold,Tier 1,Average,Double Pane,Flat RCC,0,0,0,0,2,24,9,1,4.2,Electric Geyser,10,2.2,1,400,5,1,1,0,0,1,Semi-Automatic,2,0,2,50,6.6,1,7.5,0,0,0,0,17.08,512.4,2.14
Apartment,2,771,1,2,2,0,Hot & Dry,Tier 3,Poor,Single Pane,Flat RCC,1,3,4,10.7,4,20,9,3,9.6,Electric Geyser,50,1.3,1,280,4,1,1,0,0,1,Top Load,4,0,1,32,5.5,3,9.8,1,10,0,0,38.62,1158.5,10.45
Apartment,2,615,2,4,1,3,Hot & Humid,Tier 1,Average,Triple Pane,Insulated RCC,1,3,3,10.3,7,7,7,3,10.7,Electric Geyser,25,2.9,1,235,4,1,0,0,0,1,Front Load,7,0,1,40,9.6,2,10.3,0,0,0,0,82.46,2473.8,10.31
Independent House,3,1202,1,1,1,0,Composite,Tier 2,Poor,Double Pane,Insulated RCC,1,2,2,13.9,4,10,9,3,8.9,Solar + Backup,25,0.8,1,190,1,1,1,1,5,1,Front Load,2,0,2,65,9.5,1,8.7,0,0,0,0,68.18,2045.3,8.52
Apartment,2,485,1,3,1,2,Cold,Tier 3,Poor,Single Pane,Insulated RCC,1,2,4,12.7,4,8,9,0,3.4,Electric Geyser,25,1.7,1,190,5,0,1,1,9,1,Top Load,4,1,1,55,6.5,1,5,0,0,0,0,59.6,1788.1,7.45
Villa,1,491,3,2,1,1,Hot & Humid,Tier 1,Good,Single Pane,Flat RCC,0,0,0,0,5,19,1,3,7,Solar + Backup,10,1.6,1,500,4,0,0,1,10,1,Front Load,6,0,1,75,7.2,1,10.2,0,0,0,0,18.48,554.4,2.31
Apartment,2,541,2,5,1,4,Hot & Humid,Tier 2,Excellent,Double Pane,Sloped Tiled,0,0,0,0,3,9,2,3,8.9,Electric Geyser,15,1.3,1,400,4,0,0,0,0,1,Semi-Automatic,4,0,1,40,3.1,3,9.4,0,0,0,0,16.26,487.8,2.03
Row House,2,735,2,1,1,0,Cold,Tier 1,Average,Double Pane,Flat RCC,1,2,2,8.1,4,17,7,4,11.8,Solar + Backup,25,2.1,1,235,1,1,1,1,8,1,Semi-Automatic,2,1,2,65,3.8,3,9,0,0,0,0,52.45,1573.4,6.56
Villa,2,915,1,3,1,2,Hot & Humid,Tier 2,Good,Double Pane,Sloped Tiled,1,1,2,8.5,3,23,2,0,11.6,Electric Geyser,15,0.8,1,165,2,0,0,1,6,1,Top Load,3,0,1,50,9.2,1,2.7,0,0,0,0,28.53,855.8,3.57
Apartment,2,791,2,4,3,1,Hot & Humid,Tier 1,Poor,Double Pane,Insulated RCC,1,1,4,10.1,3,5,0,2,6.6,Electric Geyser,35,2.3,1,500,5,0,0,0,0,0,None,0,0,3,43,7.6,1,2.4,1,3,1,5,24.53,735.9,4.75
Apartment,1,300,2,3,1,2,Composite,Tier 2,Good,Double Pane,Flat RCC,1,3,2,8.3,2,21,8,2,8.5,Electric Geyser,10,3,1,190,3,1,0,0,0,1,Front Load,7,0,1,50,3.5,2,9,0,0,0,0,52.12,1563.6,6.52
Villa,1,407,2,1,1,0,Temperate,Tier 1,Poor,Single Pane,Green Roof,0,0,0,0,6,21,7,4,11,Electric Geyser,15,2.5,1,340,3,1,1,0,0,0,None,0,0,1,32,6.6,1,11.4,0,0,0,0,26.27,788.1,3.28
Independent House,5,2209,2,6,2,4,Composite,Tier 2,Good,Triple Pane,Insulated RCC,1,1,3,15.4,6,16,3,1,10.5,Heat Pump,15,2.7,1,280,4,1,0,0,0,1,Front Load,2,0,1,32,9.5,1,9.7,1,1,1,2.5,30.99,929.8,4.44
Independent House,2,1008,2,3,1,2,Cold,Tier 2,Good,Single Pane,Insulated RCC,1,2,3,6.3,7,21,7,2,7.3,Solar + Backup,25,1.4,1,280,1,0,1,1,7,1,Front Load,3,0,1,43,4.8,2,10.3,1,7,1,2.5,5.13,153.8,4.58
Villa,2,780,1,4,2,2,Composite,Tier 1,Good,Single Pane,Sloped Tiled,0,0,0,0,5,20,4,0,5.4,Solar + Backup,25,1.3,1,190,3,0,0,0,0,1,Top Load,6,0,1,65,3.5,1,7.4,0,0,0,0,9.59,287.8,1.2
Apartment,3,953,1,2,2,0,Hot & Humid,Tier 2,Good,Single Pane,Insulated RCC,0,0,0,0,5,16,2,1,4.2,Electric Geyser,10,1.8,1,340,3,0,1,0,0,0,None,0,0,2,40,9.5,2,5,1,1,0,0,11.63,349,2.02
Apartment,2,840,2,3,1,2,Cold,Tier 1,Average,Single Pane,Green Roof,0,0,0,0,6,15,0,3,7.4,Electric Geyser,15,0.6,1,235,3,1,0,0,0,1,Top Load,8,0,1,75,5.7,1,8.8,0,0,0,0,15.15,454.4,1.89
Apartment,4,1801,1,3,3,0,Hot & Dry,Tier 2,Average,Single Pane,Insulated RCC,0,0,0,0,7,6,9,0,9.5,Electric Geyser,50,2.9,1,280,3,1,0,0,0,1,Top Load,5,0,2,75,5.3,2,9.1,0,0,0,0,25.08,752.3,3.13
Villa,3,887,2,1,1,0,Hot & Dry,Tier 1,Good,Double Pane,Flat RCC,1,2,3,11.5,0,10,4,1,11.7,Solar + Backup,25,0.9,1,340,2,0,0,0,0,1,Top Load,7,0,2,32,4.1,2,8.8,0,0,0,0,45.58,1367.4,5.7
Independent House,1,428,1,2,2,0,Composite,Tier 2,Average,Single Pane,Sloped Tiled,0,0,0,0,7,4,5,2,10.8,Electric Geyser,25,2.8,1,340,2,1,0,1,9,1,Top Load,6,0,2,32,9.1,1,11.5,0,0,0,0,25.1,753,3.14
Apartment,2,646,2,4,3,1,Hot & Dry,Tier 1,Poor,Double Pane,Flat RCC,0,0,0,0,7,8,3,3,4.8,Electric Geyser,35,0.7,1,165,4,1,1,0,0,1,Semi-Automatic,6,0,1,43,8.8,2,5.7,0,0,0,0,18.25,547.4,2.28
Apartment,4,1804,2,2,2,0,Hot & Humid,Tier 2,Average,Double Pane,Green Roof,0,0,0,0,7,24,6,3,9.5,Electric Geyser,10,2.6,1,190,5,1,1,1,13,1,Semi-Automatic,6,1,3,40,5.2,1,2.4,0,0,0,0,34.83,1044.8,4.35
Apartment,4,1541,1,2,2,0,Hot & Humid,Tier 1,Good,Single Pane,Insulated RCC,1,1,2,9.6,7,4,2,0,5.6,Electric Geyser,15,0.9,1,340,3,0,0,0,0,1,Top Load,4,0,1,50,2.2,1,11.1,0,0,0,0,28.73,861.8,3.59
Apartment,3,1153,1,3,1,2,Hot & Dry,Tier 2,Poor,Single Pane,Sloped Tiled,1,1,4,11.1,2,7,6,3,9.2,Electric Geyser,15,0.6,1,500,2,1,1,0,0,1,Top Load,8,0,1,55,5.6,1,3.6,0,0,0,0,40.49,1214.6,5.06
Independent House,3,836,1,4,3,1,Temperate,Tier 1,Good,Single Pane,Insulated RCC,0,0,0,0,2,4,0,1,9,Electric Geyser,15,2.3,1,235,2,1,0,0,0,1,Top Load,9,0,2,43,3.4,1,9,0,0,0,0,12.09,362.6,1.51
Independent House,2,667,2,1,1,0,Composite,Tier 3,Good,Single Pane,Insulated RCC,1,4,4,15.7,6,16,6,4,5.5,Electric Geyser,25,1.2,0,0,0,1,0,1,7,1,Front Load,6,0,1,40,3.1,0,0,1,2,0,0,77.38,2321.5,10.8
Villa,5,2147,2,3,1,2,Cold,Tier 3,Poor,Single Pane,Flat RCC,0,0,0,0,7,17,0,2,5.1,Electric Geyser,10,2.3,1,500,5,1,0,0,0,1,Front Load,5,0,2,55,5.1,2,5.1,0,0,0,0,20.04,601.3,2.51
Independent House,2,628,1,2,1,1,Hot & Dry,Tier 1,Average,Single Pane,Sloped Tiled,1,2,4,11.1,4,18,0,0,3.9,Electric Geyser,15,1.9,1,165,3,1,0,0,0,1,Semi-Automatic,2,0,1,75,2.8,1,10.3,0,0,0,0,45.86,1375.9,5.73
Apartment,4,1656,2,1,1,0,Hot & Dry,Tier 2,Excellent,Single Pane,Sloped Tiled,0,0,0,0,7,20,1,4,3.5,Solar + Backup,50,0.8,1,235,2,0,1,0,0,1,Semi-Automatic,3,0,0,0,0,0,0,1,2,1,7.5,0,0,1.09
Independent House,3,1516,1,1,1,0,Hot & Humid,Tier 1,Good,Single Pane,Insulated RCC,1,1,3,5.6,4,15,1,4,10.7,Electric Geyser,35,2.8,1,280,4,1,0,1,13,0,None,0,1,1,50,2.4,2,9.9,0,0,0,0,34.97,1049,4.37
Villa,3,892,1,4,1,3,Hot & Humid,Tier 2,Average,Single Pane,Flat RCC,1,4,4,11.9,2,10,3,0,3.4,Electric Geyser,35,1.6,1,190,4,1,0,0,0,1,Top Load,7,0,1,50,5.2,2,2.7,0,0,0,0,87.08,2612.5,10.89
Independent House,3,1216,3,2,2,0,Hot & Dry,Tier 2,Average,Double Pane,Insulated RCC,1,4,2,7.5,7,22,0,1,3.8,Electric Geyser,15,2.3,1,235,3,1,0,0,0,1,Front Load,6,0,1,40,3.3,1,8.6,0,0,0,0,68.49,2054.8,8.56
